Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,year,month,Day,flight_time,Duration(sec)
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,19:50 16 May,24h 55m,1,In-flight meal not included,10844,2019,5,15,evening,89700
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,20:45 16 May,25h 50m,1,In-flight meal not included,10844,2019,5,15,evening,93000
IndiGo,15/05/2019,Kolkata,Banglore,CCU → BLR,15:30,18:05,2h 35m,0,No info,4804,2019,5,15,afternoon,9300
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,23:35,15h 10m,1,No info,13941,2019,5,15,morning,54600
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,10:05 16 May,17h 35m,1,No info,14781,2019,5,15,afternoon,63300
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10:35,19:00,8h 25m,1,No info,9103,2019,5,15,morning,30300
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → HYD → COK,07:10,16:10,9h,1,No info,6513,2019,5,15,morning,32400
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,08:30,19:00,10h 30m,1,No info,9627,2019,5,15,morning,37800
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,18:15,9h 50m,1,In-flight meal not included,10844,2019,5,15,morning,35400
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1,No info,10197,2019,5,15,morning,32400
IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,09:15,21:00,11h 45m,1,No info,7503,2019,5,15,morning,42300
IndiGo,15/05/2019,Delhi,Cochin,DEL → HYD → COK,05:05,12:10,7h 5m,1,No info,6818,2019,5,15,mid_night,25500
Air India,15/05/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,0,No info,4145,2019,5,15,evening,9300
Air Asia,15/05/2019,Banglore,Delhi,BLR → DEL,04:55,07:45,2h 50m,0,No info,4282,2019,5,15,mid_night,10200
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,12:50,19:15,6h 25m,1,No info,8266,2019,5,15,afternoon,23100
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,11:40,19:00,7h 20m,1,No info,10529,2019,5,15,morning,26400
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,11:30,01:30 16 May,14h,1,No info,13727,2019,5,15,morning,50400
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,23:35,17h 5m,1,In-flight meal not included,8586,2019,5,15,morning,61500
Air India,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,18:30,9h 5m,1,No info,8891,2019,5,15,morning,32700
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13h,1,No info,13937,2019,5,15,morning,46800
Air India,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,21:50,12h 25m,1,No info,8366,2019,5,15,morning,44700
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,18:00,8h 25m,1,No info,13067,2019,5,15,morning,30300
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,01:30 16 May,15h 30m,1,No info,8073,2019,5,15,morning,55800
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,9h 15m,1,No info,14323,2019,5,15,morning,33300
Air India,15/05/2019,Kolkata,Banglore,CCU → DEL → AMD → BLR,07:00,05:25 16 May,22h 25m,2,No info,14424,2019,5,15,morning,80700
IndiGo,15/05/2019,Banglore,Delhi,BLR → DEL,20:00,22:50,2h 50m,0,No info,4823,2019,5,15,evening,10200
Air India,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:30,20:25 16 May,26h 55m,1,No info,10203,2019,5,15,afternoon,96900
SpiceJet,15/05/2019,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,0,No info,3873,2019,5,15,morning,9300
IndiGo,15/05/2019,Kolkata,Banglore,CCU → MAA → BLR,06:20,10:20,4h,1,No info,4226,2019,5,15,morning,14400
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → GAU → BLR,10:20,17:35,7h 15m,1,In-flight meal not included,5608,2019,5,15,morning,26100
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,15:15,01:30 16 May,10h 15m,1,No info,7670,2019,5,15,afternoon,36900
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → GWL → IDR → BOM → COK,11:35,21:00,9h 25m,3,No info,16294,2019,5,15,morning,33900
Air India,15/05/2019,Delhi,Cochin,DEL → GOI → BOM → COK,10:55,07:40 16 May,20h 45m,2,No info,12803,2019,5,15,morning,74700
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,21:05,11h 30m,1,No info,12121,2019,5,15,morning,41400
Vistara,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,20:20,13h 10m,1,No info,8610,2019,5,15,morning,47400
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → HYD → COK,09:45,16:10,6h 25m,1,No info,9646,2019,5,15,morning,23100
Air India,15/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,05:00,19:15 16 May,38h 15m,2,No info,10493,2019,5,15,mid_night,137700
IndiGo,15/05/2019,Banglore,Delhi,BLR → DEL,22:10,01:00 16 May,2h 50m,0,No info,3419,2019,5,15,evening,10200
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,10:05 16 May,12h 55m,1,In-flight meal not included,11841,2019,5,15,evening,46500
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,03:50,19:00,15h 10m,1,No info,10197,2019,5,15,mid_night,54600
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1,No info,13727,2019,5,15,afternoon,28800
SpiceJet,15/05/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,0,No check-in baggage included,3543,2019,5,15,afternoon,8400
Air Asia,15/05/2019,Kolkata,Banglore,CCU → BLR,19:55,22:25,2h 30m,0,No info,4409,2019,5,15,evening,9000
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,18:00 16 May,21h 35m,1,No info,14151,2019,5,15,evening,77700
Air India,15/05/2019,Delhi,Cochin,DEL → HYD → BOM → COK,17:15,07:40 16 May,14h 25m,2,No info,13039,2019,5,15,afternoon,51900
IndiGo,15/05/2019,Banglore,Delhi,BLR → DEL,00:30,03:25,2h 55m,0,No info,3419,2019,5,15,mid_night,10500
Vistara,15/05/2019,Banglore,Delhi,BLR → DEL,19:30,22:15,2h 45m,0,No info,4878,2019,5,15,evening,9900
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1,No info,8073,2019,5,15,afternoon,28800
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,09:45 16 May,13h 20m,1,No info,13067,2019,5,15,evening,48000
Vistara,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,10:45 16 May,27h 35m,1,No info,8452,2019,5,15,morning,99300
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,08:45,21:00,12h 15m,1,No info,7670,2019,5,15,morning,44100
IndiGo,15/05/2019,Kolkata,Banglore,CCU → BLR,21:25,00:05 16 May,2h 40m,0,No info,4804,2019,5,15,evening,9600
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,12:00,5h 30m,1,In-flight meal not included,9663,2019,5,15,morning,19800
IndiGo,15/05/2019,Mumbai,Hyderabad,BOM → HYD,12:00,13:30,1h 30m,0,No info,2754,2019,5,15,afternoon,5400
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,20:45,14h 15m,1,No info,14781,2019,5,15,morning,51300
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,09:20 16 May,13h 20m,1,In-flight meal not included,9663,2019,5,15,evening,48000
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05 16 May,14h 5m,1,In-flight meal not included,8586,2019,5,15,evening,50700
IndiGo,15/05/2019,Delhi,Cochin,DEL → BLR → COK,17:05,22:15,5h 10m,1,No info,6027,2019,5,15,afternoon,18600
IndiGo,15/05/2019,Kolkata,Banglore,CCU → BBI → BLR,19:35,23:15,3h 40m,1,No info,4226,2019,5,15,evening,13200
SpiceJet,15/05/2019,Kolkata,Banglore,CCU → PNQ → BLR,08:35,17:15,8h 40m,1,No info,6381,2019,5,15,morning,31200
SpiceJet,15/05/2019,Chennai,Kolkata,MAA → CCU,09:45,12:00,2h 15m,0,No info,3597,2019,5,15,morning,8100
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,18:15,11h 45m,1,In-flight meal not included,10844,2019,5,15,morning,42300
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:15,11h 15m,1,No info,14533,2019,5,15,morning,40500
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,21:05 16 May,28h 5m,1,No info,14151,2019,5,15,afternoon,101100
IndiGo,15/05/2019,Mumbai,Hyderabad,BOM → HYD,09:10,10:40,1h 30m,0,No info,4575,2019,5,15,morning,5400
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → HYD → COK,07:05,16:10,9h 5m,1,No info,9646,2019,5,15,morning,32700
Air India,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,9h 15m,1,No info,8372,2019,5,15,morning,33300
Jet Airways,15/05/2019,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,0,No info,7229,2019,5,15,afternoon,10800
Jet Airways,15/05/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,0,In-flight meal not included,2228,2019,5,15,evening,5400
Jet Airways,15/05/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,0,No info,7229,2019,5,15,morning,9900
Vistara,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,20:20 16 May,27h 20m,1,No info,8610,2019,5,15,afternoon,98400
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,06:40,19:15,12h 35m,1,No info,7787,2019,5,15,morning,45300
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,14:00,21:00,7h,1,No info,13727,2019,5,15,afternoon,25200
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 16 May,10h 30m,1,No info,13727,2019,5,15,afternoon,37800
Air India,15/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,16:45,12:30 16 May,19h 45m,2,No info,14960,2019,5,15,afternoon,71100
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20 16 May,12h 10m,1,In-flight meal not included,9663,2019,5,15,evening,43800
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 16 May,6h 30m,1,No info,7670,2019,5,15,evening,23400
IndiGo,15/05/2019,Delhi,Cochin,DEL → BLR → COK,15:10,20:00,4h 50m,1,No info,6027,2019,5,15,afternoon,17400
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 16 May,12h 15m,1,In-flight meal not included,8586,2019,5,15,evening,44100
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,11:40,19:15,7h 35m,1,No info,9001,2019,5,15,morning,27300
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,18:15,9h 50m,1,No info,14781,2019,5,15,morning,35400
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,10:55 16 May,25h 20m,1,No info,14151,2019,5,15,morning,91200
IndiGo,15/05/2019,Banglore,Delhi,BLR → DEL,13:00,15:50,2h 50m,0,No info,3943,2019,5,15,afternoon,10200
SpiceJet,15/05/2019,Mumbai,Hyderabad,BOM → HYD,22:45,00:15 16 May,1h 30m,0,No info,2017,2019,5,15,evening,5400
IndiGo,15/05/2019,Kolkata,Banglore,CCU → BBI → BLR,07:10,12:40,5h 30m,1,No info,4864,2019,5,15,morning,19800
IndiGo,15/05/2019,Kolkata,Banglore,CCU → HYD → BLR,15:15,20:05,4h 50m,1,No info,5380,2019,5,15,afternoon,17400
GoAir,15/05/2019,Delhi,Cochin,DEL → BOM → COK,14:25,19:35,5h 10m,1,No info,10188,2019,5,15,afternoon,18600
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,14:25 16 May,28h 50m,1,No info,11467,2019,5,15,morning,103800
Air Asia,15/05/2019,Delhi,Cochin,DEL → BLR → COK,20:45,07:10 16 May,10h 25m,1,No info,6853,2019,5,15,evening,37500
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,20:45 16 May,23h 35m,1,In-flight meal not included,10844,2019,5,15,evening,84900
IndiGo,15/05/2019,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5h 25m,1,No info,6218,2019,5,15,evening,19500
IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,01:30 16 May,9h 30m,1,No info,7923,2019,5,15,afternoon,34200
SpiceJet,15/05/2019,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,1h 30m,0,No check-in baggage included,2175,2019,5,15,afternoon,5400
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,09:15,19:15,10h,1,No info,8099,2019,5,15,morning,36000
Jet Airways,15/05/2019,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,0,No info,7229,2019,5,15,evening,11100
Jet Airways,15/05/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,0,In-flight meal not included,4030,2019,5,15,morning,9900
IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,17:30,01:30 16 May,8h,1,No info,6979,2019,5,15,afternoon,28800
Air India,15/05/2019,Delhi,Cochin,DEL → BLR → COK,13:30,08:15 16 May,18h 45m,1,No info,10671,2019,5,15,afternoon,67500
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → GAU → BLR,10:20,17:35,7h 15m,1,No info,8355,2019,5,15,morning,26100
Air India,15/05/2019,Delhi,Cochin,DEL → NAG → BOM → COK,05:55,07:40 16 May,25h 45m,2,No info,11543,2019,5,15,mid_night,92700
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,22:35 16 May,27h 40m,1,In-flight meal not included,10844,2019,5,15,evening,99600
IndiGo,15/05/2019,Kolkata,Banglore,CCU → BLR,22:15,00:50 16 May,2h 35m,0,No info,4804,2019,5,15,evening,9300
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,16:20 16 May,26h 15m,1,In-flight meal not included,10844,2019,5,15,afternoon,94500
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,04:55,12:35,7h 40m,1,No info,9103,2019,5,15,mid_night,27600
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,04:40 16 May,7h 30m,1,In-flight meal not included,9663,2019,5,15,evening,27000
SpiceJet,15/05/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,0,No check-in baggage included,3841,2019,5,15,morning,8700
SpiceJet,15/05/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,0,No info,3311,2019,5,15,mid_night,9600
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,10:55 16 May,17h 55m,1,No info,14151,2019,5,15,afternoon,64500
GoAir,15/05/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,0,No info,3398,2019,5,15,morning,10200
IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1,No info,6979,2019,5,15,morning,37500
Air India,15/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,12:00,07:40 16 May,19h 40m,2,No info,10651,2019,5,15,afternoon,70800
IndiGo,15/05/2019,Delhi,Cochin,DEL → HYD → COK,16:10,22:30,6h 20m,1,No info,6412,2019,5,15,afternoon,22800
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → HYD → COK,14:55,22:30,7h 35m,1,No info,6513,2019,5,15,afternoon,27300
Air Asia,15/05/2019,Delhi,Cochin,DEL → BLR → COK,16:45,22:25,5h 40m,1,No info,6752,2019,5,15,afternoon,20400
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → HYD → COK,07:05,22:30,15h 25m,1,No info,9646,2019,5,15,morning,55500
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,12:00 16 May,17h 5m,1,In-flight meal not included,10844,2019,5,15,evening,61500
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,12:00,5h 30m,1,No info,14388,2019,5,15,morning,19800
GoAir,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,23:30,07:45 16 May,8h 15m,1,No info,6945,2019,5,15,evening,29700
IndiGo,15/05/2019,Banglore,Delhi,BLR → DEL,06:05,08:50,2h 45m,0,No info,4423,2019,5,15,morning,9900
Jet Airways,15/05/2019,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,0,In-flight meal not included,4030,2019,5,15,afternoon,10800
Jet Airways,15/05/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,0,No info,7229,2019,5,15,afternoon,10500
IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,08:30,21:00,12h 30m,1,No info,7503,2019,5,15,morning,45000
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,16:20 16 May,21h 25m,1,In-flight meal not included,10844,2019,5,15,evening,77100
Vistara,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,23:25,16h 15m,1,No info,9345,2019,5,15,morning,58500
IndiGo,15/05/2019,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1h 30m,0,No info,4049,2019,5,15,morning,5400
SpiceJet,15/05/2019,Banglore,Delhi,BLR → DEL,21:10,00:05 16 May,2h 55m,0,No info,3625,2019,5,15,evening,10500
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,21:00,11h,1,No info,8073,2019,5,15,morning,39600
Air India,15/05/2019,Delhi,Cochin,DEL → HYD → MAA → COK,09:45,09:25 16 May,23h 40m,2,No info,10975,2019,5,15,morning,85200
Air India,15/05/2019,Kolkata,Banglore,CCU → HYD → BLR,19:00,11:05 16 May,16h 5m,1,No info,6117,2019,5,15,evening,57900
Air India,15/05/2019,Kolkata,Banglore,CCU → GAU → BLR,16:45,21:05 16 May,28h 20m,1,No info,7452,2019,5,15,afternoon,102000
Air India,15/05/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00,13:45 16 May,27h 45m,2,No info,16057,2019,5,15,morning,99900
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → IDR → BOM → COK,15:05,01:30 16 May,10h 25m,2,No info,16840,2019,5,15,afternoon,37500
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:00,7h 35m,1,No info,9103,2019,5,15,morning,27300
Air India,15/05/2019,Delhi,Cochin,DEL → MAA → COK,09:45,09:25 16 May,23h 40m,1,No info,7480,2019,5,15,morning,85200
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10:35,19:15,8h 40m,1,No info,7575,2019,5,15,morning,31200
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,04:40 16 May,12h 10m,1,In-flight meal not included,10844,2019,5,15,afternoon,43800
Air India,15/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,16:15 16 May,34h 25m,2,No info,12723,2019,5,15,mid_night,123900
IndiGo,15/05/2019,Mumbai,Hyderabad,BOM → HYD,20:05,21:40,1h 35m,0,No info,2227,2019,5,15,evening,5700
IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,21:00,5h,1,No info,6069,2019,5,15,afternoon,18000
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,12:50,01:30 16 May,12h 40m,1,No info,7670,2019,5,15,afternoon,45600
Air India,15/05/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,07:55 16 May,19h 55m,2,No info,9941,2019,5,15,afternoon,71700
Air India,15/05/2019,Kolkata,Banglore,CCU → DEL → AMD → BLR,10:00,05:25 16 May,19h 25m,2,No info,14424,2019,5,15,morning,69900
Air India,15/05/2019,Kolkata,Banglore,CCU → HYD → BLR,19:00,04:40 16 May,9h 40m,1,No info,6117,2019,5,15,evening,34800
Vistara,15/05/2019,Banglore,Delhi,BLR → DEL,17:00,19:35,2h 35m,0,No info,4878,2019,5,15,afternoon,9300
Air India,15/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,08:55 16 May,23h 5m,2,No info,14960,2019,5,15,morning,83100
Air India,15/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,19:15 16 May,23h 30m,2,No info,11491,2019,5,15,evening,84600
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,22:05,12h 30m,1,In-flight meal not included,10703,2019,5,15,morning,45000
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:00,11h,1,No info,10197,2019,5,15,morning,39600
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,14:00,01:30 16 May,11h 30m,1,No info,13727,2019,5,15,afternoon,41400
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1,In-flight meal not included,10844,2019,5,15,morning,44400
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,14:25 16 May,21h 25m,1,No info,11467,2019,5,15,afternoon,77100
Air India,15/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,12:00,19:15,7h 15m,2,No info,9601,2019,5,15,afternoon,26100
Jet Airways,15/05/2019,Delhi,Cochin,DEL → BOM → COK,02:15,12:35,10h 20m,1,In-flight meal not included,12373,2019,5,15,mid_night,37200
Jet Airways,15/05/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,0,In-flight meal not included,3502,2019,5,15,afternoon,10500
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,18:00,01:30 16 May,7h 30m,1,No info,8073,2019,5,15,evening,27000
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,10:05 16 May,15h 10m,1,No info,14388,2019,5,15,evening,54600
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,18:00,8h 25m,1,In-flight meal not included,12384,2019,5,15,morning,30300
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7h 50m,1,No info,7575,2019,5,15,morning,28200
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,06:00,21:00,15h,1,No info,7670,2019,5,15,morning,54000
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,20:45,6h 40m,1,In-flight meal not included,10844,2019,5,15,afternoon,24000
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,23:35,14h,1,No info,14151,2019,5,15,morning,50400
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,04:40 16 May,22h 10m,1,No info,13941,2019,5,15,morning,79800
IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,17:10,01:30 16 May,8h 20m,1,No info,6979,2019,5,15,afternoon,30000
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 16 May,13h 20m,1,No info,14388,2019,5,15,evening,48000
GoAir,15/05/2019,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1,No info,7682,2019,5,15,morning,21300
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,14:25 16 May,21h 25m,1,In-flight meal not included,9314,2019,5,15,afternoon,77100
IndiGo,15/05/2019,Delhi,Cochin,DEL → COK,14:25,17:40,3h 15m,0,No info,6541,2019,5,15,afternoon,11700
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,22:35,6h 5m,1,In-flight meal not included,10844,2019,5,15,afternoon,21900
IndiGo,15/05/2019,Delhi,Cochin,DEL → HYD → COK,07:35,16:10,8h 35m,1,No info,6442,2019,5,15,morning,30900
Air India,15/05/2019,Delhi,Cochin,DEL → MAA → COK,17:20,09:25 16 May,16h 5m,1,No info,7480,2019,5,15,afternoon,57900
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,16:20 16 May,21h 25m,1,No info,14781,2019,5,15,evening,77100
GoAir,15/05/2019,Banglore,Delhi,BLR → DEL,07:45,10:40,2h 55m,0,No info,3419,2019,5,15,morning,10500
Air India,15/05/2019,Delhi,Cochin,DEL → BLR → COK,20:30,08:15 16 May,11h 45m,1,No info,10671,2019,5,15,evening,42300
SpiceJet,15/05/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,0,No check-in baggage included,3257,2019,5,15,mid_night,9600
IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,04:55,21:00,16h 5m,1,No info,6979,2019,5,15,mid_night,57900
IndiGo,15/05/2019,Chennai,Kolkata,MAA → CCU,07:55,10:15,2h 20m,0,No info,3850,2019,5,15,morning,8400
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,19:10,9h 35m,1,In-flight meal not included,12384,2019,5,15,morning,34500
Air India,15/05/2019,Kolkata,Banglore,CCU → BBI → HYD → BLR,09:10,11:05 16 May,25h 55m,2,No info,6117,2019,5,15,morning,93300
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,14:25 16 May,28h 50m,1,In-flight meal not included,9314,2019,5,15,morning,103800
Vistara,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,22:40 16 May,26h 20m,1,No info,8452,2019,5,15,evening,94800
Jet Airways,15/05/2019,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,0,No info,7229,2019,5,15,morning,10500
IndiGo,15/05/2019,Kolkata,Banglore,CCU → MAA → BLR,17:35,22:15,4h 40m,1,No info,5386,2019,5,15,afternoon,16800
SpiceJet,15/05/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,0,No check-in baggage included,3841,2019,5,15,afternoon,9000
Jet Airways,15/05/2019,Mumbai,Hyderabad,BOM → HYD,02:55,04:20,1h 25m,0,In-flight meal not included,3210,2019,5,15,mid_night,5100
Air India,15/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,05:00,07:40 16 May,26h 40m,2,No info,11281,2019,5,15,mid_night,96000
Air India,15/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,18:45,19:15 16 May,24h 30m,2,No info,13307,2019,5,15,evening,88200
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,09:45 16 May,16h 45m,1,No info,13067,2019,5,15,afternoon,60300
IndiGo,15/05/2019,Delhi,Cochin,DEL → COK,05:35,08:50,3h 15m,0,No info,6015,2019,5,15,mid_night,11700
SpiceJet,15/05/2019,Delhi,Cochin,DEL → BLR → COK,17:55,22:50,4h 55m,1,No info,5409,2019,5,15,afternoon,17700
